DATE,TIME,LINK,CURRENCY,IMPACT,DESCRIPTION,DETAIL,ACTUAL,FORECAST,PREVIOUS,GRAPH
Mon Dec 16,6:00am,,AUD,Low Impact Expected,Flash Services PMI,,50.4,,Revised from 49.6,
Mon Dec 16,7:50am,,JPY,Low Impact Expected,Core Machinery Orders m/m,,2.1%,1.1%,-0.7%,
Mon Dec 16,8:01am,,GBP,Low Impact Expected,Rightmove HPI m/m,,-1.7%,,-1.4%,
Mon Dec 16,8:30am,,JPY,Low Impact Expected,Flash Manufacturing PMI,,49.5,49.2,49.0,
Mon Dec 16,9:30am,,CNY,Low Impact Expected,New Home Prices m/m,,-0.20%,,-0.51%,
Mon Dec 16,10:00am,,CNY,Medium Impact Expected,Industrial Production y/y,,5.4%,5.4%,5.3%,
Mon Dec 16,10:00am,,CNY,Medium Impact Expected,Retail Sales y/y,,3.0%,5.0%,4.8%,
Mon Dec 16,10:00am,,CNY,Low Impact Expected,Fixed Asset Investment ytd/y,,3.3%,3.5%,3.4%,
Mon Dec 16,10:00am,,CNY,Low Impact Expected,NBS Press Conference,,,,,
Mon Dec 16,10:00am,,CNY,Low Impact Expected,Unemployment Rate,,5.0%,5.0%,5.0%,
Mon Dec 16,12:30pm,,JPY,Low Impact Expected,Tertiary Industry Activity m/m,,0.3%,-0.1%,Revised from -0.2%,
Mon Dec 16,3:30pm,,CHF,Low Impact Expected,PPI m/m,,-0.6%,0.2%,-0.3%,
Mon Dec 16,4:15pm,,EUR,High Impact Expected,French Flash Manufacturing PMI,,41.9,43.2,Revised from 43.2,
Mon Dec 16,4:15pm,,EUR,High Impact Expected,French Flash Services PMI,,48.2,46.9,Revised from 45.7,
Mon Dec 16,4:15pm,,EUR,Medium Impact Expected,ECB President Lagarde Speaks,,,,,
Mon Dec 16,4:30pm,,EUR,High Impact Expected,German Flash Manufacturing PMI,,42.5,43.1,Revised from 43.2,
Mon Dec 16,4:30pm,,EUR,High Impact Expected,German Flash Services PMI,,51.0,49.5,Revised from 49.4,
Mon Dec 16,4:35pm,,EUR,Medium Impact Expected,ECB President Lagarde Speaks,,,,,
Mon Dec 16,5:00pm,,EUR,Medium Impact Expected,Flash Manufacturing PMI,,45.2,45.3,45.2,
Mon Dec 16,5:00pm,,EUR,Medium Impact Expected,Flash Services PMI,,51.4,49.5,Revised from 49.2,
Mon Dec 16,5:30pm,,GBP,High Impact Expected,Flash Manufacturing PMI,,47.3,48.4,Revised from 48.6,
Mon Dec 16,5:30pm,,GBP,High Impact Expected,Flash Services PMI,,51.4,50.9,Revised from 50.0,
Mon Dec 16,9:15pm,,CAD,Low Impact Expected,Housing Starts,,262K,246K,Revised from 241K,
Mon Dec 16,9:30pm,,USD,Medium Impact Expected,Empire State Manufacturing Index,,0.2,6.4,31.2,
Mon Dec 16,10:45pm,,USD,High Impact Expected,Flash Manufacturing PMI,,48.3,49.4,Revised from 48.8,
Mon Dec 16,10:45pm,,USD,High Impact Expected,Flash Services PMI,,58.5,55.7,Revised from 57.0,
Fri Dec 13,2:01am,,USD,Low Impact Expected,30-y Bond Auction,,4.54|2.4,,4.61|2.6,
Fri Dec 13,5:30am,,NZD,Low Impact Expected,BusinessNZ Manufacturing Index,,45.5,,Revised from 45.8,
Fri Dec 13,5:45am,,NZD,Low Impact Expected,Visitor Arrivals m/m,,0.6%,,Revised from 1.1%,
Fri Dec 13,7:50am,,JPY,Low Impact Expected,Tankan Manufacturing Index,,14,13,13,
Fri Dec 13,7:50am,,JPY,Low Impact Expected,Tankan Non-Manufacturing Index,,33,33,34,
Fri Dec 13,8:01am,,GBP,Low Impact Expected,GfK Consumer Confidence,,-17,-18,-18,
Fri Dec 13,9:30am,,AUD,Low Impact Expected,RBA Assist Gov Hunter Speaks,,,,,
Fri Dec 13,12:30pm,,JPY,Low Impact Expected,Revised Industrial Production m/m,,2.8%,3.0%,3.0%,
Fri Dec 13,3:00pm,,EUR,Low Impact Expected,German Trade Balance,,13.4B,15.7B,Revised from 17.0B,
Fri Dec 13,3:00pm,,EUR,Low Impact Expected,German WPI m/m,,0.0%,0.2%,0.4%,
Fri Dec 13,3:00pm,,GBP,High Impact Expected,GDP m/m,,-0.1%,0.1%,-0.1%,
Fri Dec 13,3:00pm,,GBP,Low Impact Expected,Construction Output m/m,,-0.4%,0.2%,0.1%,
Fri Dec 13,3:00pm,,GBP,Low Impact Expected,Goods Trade Balance,,-19.0B,-16.1B,-16.3B,
Fri Dec 13,3:00pm,,GBP,Low Impact Expected,Index of Services 3m/3m,,0.1%,0.2%,0.1%,
Fri Dec 13,3:00pm,,GBP,Low Impact Expected,Industrial Production m/m,,-0.6%,0.3%,-0.5%,
Fri Dec 13,3:00pm,,GBP,Low Impact Expected,Manufacturing Production m/m,,-0.6%,0.2%,-1.0%,
Fri Dec 13,3:45pm,,EUR,Low Impact Expected,French Final CPI m/m,,-0.1%,-0.1%,-0.1%,
Fri Dec 13,5:30pm,,GBP,Low Impact Expected,Consumer Inflation Expectations,,3.0%,,2.7%,
Fri Dec 13,All Day,,All,Low Impact Expected,G7 Meetings,,,,,
Fri Dec 13,6:00pm,,EUR,Low Impact Expected,German Buba Monthly Report,,,,,
Fri Dec 13,6:00pm,,EUR,Low Impact Expected,Industrial Production m/m,,0.0%,0.0%,Revised from -2.0%,
Fri Dec 13,7:01pm,,CNY,Low Impact Expected,M2 Money Supply y/y,,7.1%,7.6%,7.5%,
Fri Dec 13,7:02pm,,CNY,Medium Impact Expected,New Loans,,580B,950B,500B,
Fri Dec 13,8:32pm,,GBP,Low Impact Expected,NIESR GDP Estimate,,0.0%,,0.1%,
Fri Dec 13,9:30pm,,CAD,Low Impact Expected,Capacity Utilization Rate,,79.3%,78.9%,79.1%,
Fri Dec 13,9:30pm,,CAD,Low Impact Expected,Manufacturing Sales m/m,,2.1%,1.2%,Revised from -0.5%,
Fri Dec 13,9:30pm,,CAD,Low Impact Expected,Wholesale Sales m/m,,1.0%,0.6%,Revised from 0.8%,
Fri Dec 13,9:30pm,,USD,Low Impact Expected,Import Prices m/m,,0.1%,-0.2%,Revised from 0.3%,
Thu Dec 12,2:01am,,USD,Low Impact Expected,10-y Bond Auction,,4.24|2.7,,4.35|2.6,
Thu Dec 12,3:00am,,USD,Low Impact Expected,Federal Budget Balance,,-366.8B,-349.0B,-257.5B,
Thu Dec 12,8:01am,,GBP,Low Impact Expected,RICS House Price Balance,,25%,19%,16%,
Thu Dec 12,8:30am,,AUD,High Impact Expected,Employment Change,,35.6K,26.0K,Revised from 15.9K,
Thu Dec 12,8:30am,,AUD,High Impact Expected,Unemployment Rate,,3.9%,4.2%,4.1%,
Thu Dec 12,4:30pm,,CHF,High Impact Expected,SNB Monetary Policy Assessment,,,,,
Thu Dec 12,4:30pm,,CHF,High Impact Expected,SNB Policy Rate,,0.50%,0.75%,1.00%,
Thu Dec 12,5:00pm,,CHF,High Impact Expected,SNB Press Conference,,,,,
Thu Dec 12,5:00pm,,EUR,Low Impact Expected,Italian Quarterly Unemployment Rate,,6.1%,6.6%,Revised from 6.8%,
Thu Dec 12,6:15pm,,EUR,Low Impact Expected,Italian 10-y Bond Auction,,3.19|2.1,,3.39|1.6,
Thu Dec 12,9:15pm,,EUR,High Impact Expected,Main Refinancing Rate,,3.15%,3.15%,3.40%,
Thu Dec 12,9:15pm,,EUR,High Impact Expected,Monetary Policy Statement,,,,,
Thu Dec 12,9:30pm,,CAD,Low Impact Expected,Building Permits m/m,,-3.1%,-4.8%,11.5%,
Thu Dec 12,9:30pm,,USD,High Impact Expected,Core PPI m/m,,0.2%,0.2%,0.3%,
Thu Dec 12,9:30pm,,USD,High Impact Expected,PPI m/m,,0.4%,0.2%,Revised from 0.2%,
Thu Dec 12,9:30pm,,USD,High Impact Expected,Unemployment Claims,,242K,221K,Revised from 224K,
Thu Dec 12,9:45pm,,EUR,High Impact Expected,ECB Press Conference,,,,,
Thu Dec 12,10:30pm,,GBP,Low Impact Expected,CB Leading Index m/m,,0.0%,,Revised from -0.1%,
Thu Dec 12,11:30pm,,USD,Low Impact Expected,Natural Gas Storage,,-190B,-172B,-30B,
Wed Dec 11,5:30am,,USD,Low Impact Expected,API Weekly Statistical Bulletin,,,,,
Wed Dec 11,5:45am,,NZD,Low Impact Expected,Manufacturing Sales q/q,,-0.1%,,Revised from 0.1%,
Wed Dec 11,7:50am,,JPY,Low Impact Expected,BSI Manufacturing Index,,6.3,1.8,4.5,
Wed Dec 11,7:50am,,JPY,Low Impact Expected,PPI y/y,,3.7%,3.4%,Revised from 3.4%,
Wed Dec 11,3:00pm,,AUD,Low Impact Expected,RBA Deputy Gov Hauser Speaks,,,,,
Wed Dec 11,6:05pm,,GBP,Low Impact Expected,10-y Bond Auction,,4.33|2.9,,4.48|2.8,
Wed Dec 11,9:30pm,,USD,High Impact Expected,Core CPI m/m,,0.3%,0.3%,0.3%,
Wed Dec 11,9:30pm,,USD,High Impact Expected,CPI m/m,,0.3%,0.3%,0.2%,
Wed Dec 11,9:30pm,,USD,High Impact Expected,CPI y/y,,2.7%,2.7%,2.6%,
Wed Dec 11,10:45pm,,CAD,High Impact Expected,BOC Rate Statement,,,,,
Wed Dec 11,10:45pm,,CAD,High Impact Expected,Overnight Rate,,3.25%,3.25%,3.75%,
Wed Dec 11,11:30pm,,CAD,High Impact Expected,BOC Press Conference,,,,,
Wed Dec 11,11:30pm,,USD,Medium Impact Expected,Crude Oil Inventories,,-1.4M,-1.0M,-5.1M,
Tue Dec 10,7:50am,,JPY,Low Impact Expected,M2 Money Stock y/y,,1.2%,1.2%,1.2%,
Tue Dec 10,8:30am,,AUD,Low Impact Expected,NAB Business Confidence,,-3,,5,
Tue Dec 10,11:06am,,CNY,Low Impact Expected,USD-Denominated Trade Balance,,97.4B,94.0B,95.7B,
Tue Dec 10,11:07am,,CNY,Low Impact Expected,Trade Balance,,693B,682B,679B,
Tue Dec 10,11:30am,,AUD,High Impact Expected,Cash Rate,,4.35%,4.35%,4.35%,
Tue Dec 10,11:30am,,AUD,High Impact Expected,RBA Rate Statement,,,,,
Tue Dec 10,12:30pm,,AUD,Medium Impact Expected,RBA Press Conference,,,,,
Tue Dec 10,1:58pm,,JPY,Low Impact Expected,Prelim Machine Tool Orders y/y,,3.0%,,9.3%,
Tue Dec 10,3:00pm,,EUR,Low Impact Expected,German Final CPI m/m,,-0.2%,-0.2%,-0.2%,
Tue Dec 10,5:00pm,,EUR,Low Impact Expected,Italian Industrial Production m/m,,0.0%,-0.1%,Revised from -0.4%,
Tue Dec 10,All Day,,EUR,Low Impact Expected,ECOFIN Meetings,,,,,
Tue Dec 10,7:00pm,,USD,Low Impact Expected,NFIB Small Business Index,,101.7,94.6,93.7,
Tue Dec 10,All Day,,All,Medium Impact Expected,OPEC Meetings,,,,,
Tue Dec 10,9:30pm,,USD,Low Impact Expected,Revised Nonfarm Productivity q/q,,2.2%,2.3%,2.2%,
Tue Dec 10,9:30pm,,USD,Low Impact Expected,Revised Unit Labor Costs q/q,,0.8%,1.3%,1.9%,
Mon Dec 9,7:50am,,JPY,Low Impact Expected,Bank Lending y/y,,3.0%,2.6%,Revised from 2.7%,
Mon Dec 9,7:50am,,JPY,Low Impact Expected,Current Account,,2.41T,2.28T,1.27T,
Mon Dec 9,7:50am,,JPY,Low Impact Expected,Final GDP Price Index y/y,,2.4%,2.5%,2.5%,
Mon Dec 9,7:50am,,JPY,Low Impact Expected,Final GDP q/q,,0.3%,0.3%,0.2%,
Mon Dec 9,9:30am,,CNY,Medium Impact Expected,CPI y/y,,0.2%,0.4%,0.3%,
